Country of Giftor,contract,monetary_gift,real_estate,total
AFGHANISTAN,5001410.0,3890364.0,0.0,8891774.0
ANGOLA,499908.0,0.0,0.0,499908.0
ARGENTINA,1490733.0,3965425.0,0.0,5456158.0
AUSTRALIA,37268805.0,24187528.0,0.0,61456333.0
AUSTRIA,15553197.0,3772945.0,0.0,19326142.0
BAHAMAS,24754452.0,28282017.0,0.0,53036469.0
BAHRAIN,3161970.0,1000000.0,0.0,4161970.0
BANGLADESH,3237250.0,4712443.0,0.0,7949693.0
BELGIUM,25982853.0,24879544.0,0.0,50862397.0
BERMUDA,755534237.0,56891877.0,0.0,812426114.0
BOTSWANA,1452470.0,0.0,0.0,1452470.0
BRAZIL,26010110.0,121536901.0,0.0,147547011.0
BRITISH WEST INDIES,707506.0,4617000.0,0.0,5324506.0
BULGARIA,955729.0,665.0,0.0,956394.0
BURMA,4086291.0,2781683.0,0.0,6867974.0
CANADA,256781569.0,254234892.0,0.0,511016461.0
CAYMAN ISLANDS (THE),6749473.0,1000010.0,0.0,7749483.0
CEYLON,1480913.0,100.0,0.0,1481013.0
CHILE,9066845.0,15887297.0,0.0,24954142.0
CHINA,356598240.0,323674776.0,0.0,680273016.0
COLOMBIA,18512306.0,12872498.0,0.0,31384804.0
COSTA RICA,2750191.0,745.0,0.0,2750936.0
CYPRUS,1919818.0,7800050.0,0.0,9719868.0
CZECH REPUBLIC,1291876.0,1616508.0,0.0,2908384.0
DENMARK,85725830.0,20563123.0,0.0,106288953.0
DOMINICAN REPUBLIC,693551.0,25.0,0.0,693576.0
ECUADOR,37736188.0,100971.0,0.0,37837159.0
EGYPT,3400274.0,2720885.0,0.0,6121159.0
ENGLAND,391825802.0,544642697.0,0.0,936468499.0
ETHIOPIA,1075469.0,96385.0,0.0,1171854.0
FINLAND,9225777.0,423438.0,0.0,9649215.0
FRANCE,204718101.0,162727154.0,150.0,367445405.0
GEORGIA,610890.0,27127.0,0.0,638017.0
GERMANY,153990809.0,83686491.0,0.0,237677300.0
GHANA,1629371.0,4336361.0,0.0,5965732.0
GREECE,955570.0,20035605.0,0.0,20991175.0
GRENADA,1021630.0,0.0,0.0,1021630.0
GUATEMALA,2014980.0,150925.0,0.0,2165905.0
HAITI,274955.0,1811454.0,0.0,2086409.0
HONDURAS,8043.0,1297130.0,0.0,1305173.0
HONG KONG,51500188.0,531604426.0,0.0,583104614.0
HUNGARY,828392.0,1063556.0,0.0,1891948.0
INDIA,221161059.0,207437329.0,0.0,428598388.0
INDONESIA,17313381.0,26380938.0,0.0,43694319.0
IRAQ,43742334.0,534427.0,0.0,44276761.0
IRELAND,44342766.0,28420922.0,0.0,72763688.0
ISRAEL,40013731.0,13726754.0,0.0,53740485.0
ITALY,44635476.0,22279047.0,0.0,66914523.0
JAPAN,273270229.0,174662195.0,0.0,447932424.0
JORDAN,1770824.0,771000.0,0.0,2541824.0
KAZAKHSTAN,25539965.0,36639149.0,0.0,62179114.0
KENYA,11014517.0,653803.0,0.0,11668320.0
KOREA,62689975.0,31262296.0,0.0,93952271.0
KUWAIT,19893959.0,45888708.0,0.0,65782667.0
LEBANON,1065000.0,4643001.0,0.0,5708001.0
LIBYA,2210000.0,0.0,0.0,2210000.0
LIECHTENSTEIN,159965.0,12053364.0,0.0,12213329.0
LUXEMBOURG,925480.0,16796.0,0.0,942276.0
MALAWI,2117415.0,1328118.0,0.0,3445533.0
MALAYSIA,30926353.0,41051639.0,0.0,71977992.0
MALTA,74805.0,914.0,0.0,75719.0
MEXICO,27666874.0,43637784.0,4312000.0,75616658.0
MONACO,952666.0,13570864.0,0.0,14523530.0
MOROCCO,22414785.0,275010.0,0.0,22689795.0
NEW ZEALAND,2000501.0,3808744.0,0.0,5809245.0
NIGERIA,13434225.0,6110592.0,0.0,19544817.0
NORWAY,27949731.0,31976474.0,0.0,59926205.0
