ID,OPEID,Foreign Gift Amount
3315093,118552000,1478676069
31589478,552868700,936468499
926520,23718000,812426114
18092303,315381600,680273016
6245636,141787300,649971586
10044775,153988300,583104614
23516436,377770600,511016461
20199569,337935500,447932424
2366358,121098700,428598388
14075862,338162400,421080365
13784153,257375000,367445405
3304231,70442000,266965690
11353173,211084300,237677300
1157839,43122900,230945101
1723522,46599900,147547011
1399422,43238200,147129926
6225202,106640400,119886238
594590,19518800,119420134
2272677,38557300,106535110
2070487,51212400,106288953
506908,8644600,99461804
4915700,67794900,95130238
3823883,76727900,93952271
4106767,113021200,91681138
1088736,29572400,75616658
2022466,52795100,72763688
1054811,31393500,71977992
4538951,92019500,66914523
540054,16377400,65782667
427692,12081900,62179114
2778533,44633100,61456333
1960424,40568500,59926205
2968064,54640800,53740485
505561,13303300,53036469
222883,7057600,50916718
931328,26616500,50862397
129013,2868500,44276761
672478,26219200,43694319
728647,21781100,40198009
47478,2177600,37837159
400498,10885300,37724394
729894,28242300,31384804
401442,11258400,24954142
406427,10675200,24300948
64397,1671000,22689795
367316,7426500,20991175
367532,10286800,19544817
471099,12066400,19326142
183005,3654900,18491819
27286,783900,17882533
960338,30044700,17547619
72620,2338400,15476151
483052,13787800,14523530
656045,12373300,13439633
143133,5469300,12213329
277333,8323000,11799413
709553,21243300,11668320
231002,7538000,10598200
42502,1931700,9719868
549387,12114700,9649215
106374,3302700,8891774
385349,10238800,7949693
101337,4976300,7749483
51291,2554800,6867974
341936,11701700,6839597
36503,1258700,6720000
160157,3305400,6121159
150465,5309000,6096662
291091,7222900,5965732
277144,5728200,5809245
159286,4249300,5708001
200480,4094400,5456158
56644,2793800,5324506
86638,3829100,5277097
74436,2038600,5189097
98694,2055700,4895309
69699,2667100,4701815
49976,1609100,4161970
15152,431000,4000000
77536,2944800,3445533
39534,807000,3311132
58694,2180700,2908384
143755,4620500,2750936
226066,5498900,2541824
91479,2373500,2509754
31890,1571300,2345494
54249,1125900,2275000
749,221900,2210000
194879,6046900,2165905
50055,1376900,2149946
173844,3864600,2086409
25926,1309600,2049606
77842,1798500,1891948
163922,3551900,1856166
63943,1330600,1516786
309808,10717200,1481013
53708,1258700,1453000
47174,1293000,1452470
22702,830800,1364702
40234,1007100,1305173
75879,1417300,1171854
16648,623100,1071482
14662,431000,1050000
1509,278500,1041666
17068,702100,1033701
43744,1190700,1021630
41169,749000,1000000
82692,1783300,987398
49239,1626600,956394
157009,2578200,942276
22827,623100,848646
17989,435600,825000
26230,602800,693576
42670,987200,638017
3675,318400,499908
826,212100,440000
26593,623100,436500
28977,812100,369728
43738,932100,352630
6903,292000,300000
19715,415400,216470
21835,415400,118892
52694,1560100,92378
23366,415400,80065
48626,1372900,75719
26078,415400,56529
12350,207700,27744
21134,415400,22516
33377,830800,18225
45338,623100,16960
8455,207700,6000
8432,207700,1176
16774,207700,1170
8398,207700,300
16533,415400,115
8359,207700,100
8353,207700,100
16377,415400,80
8248,207700,50
8217,207700,50
8197,207700,50
8166,207700,26
8161,207700,20
14443,131500,3
